,Dose_de_Radiacao,mAmp,Tempo_de_Exposicao
150,355.2,40,3.0
151,444.0,15,10.0
152,29.6,10,1.0
153,7.4,10,0.25
154,88.8,10,3.0
155,44.4,30,0.5
156,444.0,15,10.0
157,1776.0,40,15.0
158,88.8,30,1.0
159,11.1,15,0.25
160,666.0,15,15.0
161,666.0,15,15.0
162,44.4,30,0.5
163,133.2,15,3.0
164,1776.0,30,20.0
165,1776.0,40,15.0
166,1776.0,30,20.0
167,59.2,10,2.0
168,888.0,30,10.0
169,355.2,40,3.0
170,888.0,20,15.0
171,1776.0,40,15.0
172,666.0,15,15.0
173,266.4,30,3.0
174,236.8,40,2.0
175,133.2,15,3.0
176,1776.0,30,20.0
177,444.0,10,15.0
178,592.0,20,10.0
179,177.6,30,2.0
180,14.8,10,0.5
181,296.0,10,10.0
182,177.6,30,2.0
183,177.6,30,2.0
184,118.4,20,2.0
185,888.0,30,10.0
186,44.4,15,1.0
187,177.6,30,2.0
188,22.2,30,0.25
189,1776.0,40,15.0
190,29.6,40,0.25
191,7.4,10,0.25
192,88.8,30,1.0
193,133.2,15,3.0
194,29.6,10,1.0
195,1776.0,40,15.0
196,296.0,10,10.0
197,592.0,10,20.0
198,88.8,30,1.0
199,11.1,15,0.25
200,355.2,40,3.0
201,29.6,40,0.25
202,1184.0,20,20.0
203,666.0,15,15.0
204,1776.0,30,20.0
205,1776.0,30,20.0
206,1184.0,20,20.0
207,88.8,15,2.0
208,1776.0,40,15.0
209,14.8,10,0.5
210,29.6,10,1.0
211,355.2,40,3.0
212,14.8,20,0.25
213,14.8,10,0.5
214,14.8,10,0.5
215,177.6,30,2.0
216,888.0,20,15.0
217,355.2,40,3.0
218,1776.0,30,20.0
219,29.6,40,0.25
220,7.4,10,0.25
221,59.2,20,1.0
222,14.8,10,0.5
223,44.4,30,0.5
224,1776.0,30,20.0
225,296.0,10,10.0
226,1776.0,30,20.0
227,59.2,10,2.0
228,44.4,15,1.0
229,14.8,20,0.25
230,1184.0,40,10.0
231,1184.0,20,20.0
232,88.8,10,3.0
233,59.2,40,0.5
234,296.0,10,10.0
235,592.0,20,10.0
236,44.4,15,1.0
237,888.0,15,20.0
238,29.6,40,0.25
239,11.1,15,0.25
240,296.0,10,10.0
241,888.0,15,20.0
242,266.4,30,3.0
243,29.6,10,1.0
244,118.4,20,2.0
245,236.8,40,2.0
246,59.2,20,1.0
247,44.4,30,0.5
248,29.6,10,1.0
249,59.2,20,1.0
250,118.4,20,2.0
251,1776.0,30,20.0
252,444.0,10,15.0
253,29.6,40,0.25
254,2368.0,40,20.0
255,1776.0,40,15.0
256,29.6,20,0.5
257,2368.0,40,20.0
258,7.4,10,0.25
259,44.4,15,1.0
260,177.6,30,2.0
261,22.2,30,0.25
262,888.0,20,15.0
263,1332.0,30,15.0
264,888.0,30,10.0
265,118.4,40,1.0
266,444.0,10,15.0
267,888.0,15,20.0
268,44.4,30,0.5
269,14.8,10,0.5
270,7.4,10,0.25
271,88.8,15,2.0
272,88.8,10,3.0
273,355.2,40,3.0
274,1776.0,30,20.0
275,11.1,15,0.25
276,118.4,40,1.0
277,59.2,20,1.0
278,888.0,15,20.0
279,29.6,10,1.0
280,118.4,20,2.0
281,1184.0,20,20.0
282,29.6,40,0.25
283,1184.0,20,20.0
284,44.4,15,1.0
285,592.0,10,20.0
286,236.8,40,2.0
287,1184.0,40,10.0
288,2368.0,40,20.0
289,118.4,20,2.0
290,118.4,40,1.0
291,22.2,30,0.25
292,118.4,40,1.0
293,22.2,30,0.25
294,266.4,30,3.0
295,29.6,20,0.5
296,29.6,20,0.5
297,14.8,10,0.5
298,118.4,40,1.0
299,888.0,15,20.0
300,236.8,40,2.0
301,29.6,40,0.25
302,59.2,10,2.0
303,29.6,40,0.25
304,444.0,15,10.0
305,177.6,20,3.0
306,118.4,20,2.0
307,592.0,10,20.0
308,444.0,10,15.0
309,29.6,10,1.0
310,14.8,20,0.25
311,29.6,40,0.25
312,88.8,15,2.0
313,592.0,20,10.0
314,592.0,20,10.0
315,888.0,30,10.0
316,1184.0,40,10.0
317,1184.0,40,10.0
318,592.0,10,20.0
319,88.8,30,1.0
320,88.8,30,1.0
321,59.2,40,0.5
322,177.6,20,3.0
323,888.0,30,10.0
324,29.6,40,0.25
325,177.6,30,2.0
326,29.6,40,0.25
327,88.8,10,3.0
328,59.2,20,1.0
329,59.2,10,2.0
330,118.4,40,1.0
331,14.8,20,0.25
332,177.6,30,2.0
333,888.0,30,10.0
334,266.4,30,3.0
335,296.0,10,10.0
336,118.4,40,1.0
337,355.2,40,3.0
338,1184.0,20,20.0
339,266.4,30,3.0
340,1332.0,30,15.0
341,118.4,40,1.0
342,29.6,40,0.25
343,177.6,20,3.0
344,1776.0,30,20.0
345,888.0,20,15.0
346,29.6,40,0.25
347,29.6,10,1.0
348,29.6,20,0.5
349,22.2,30,0.25
350,1332.0,30,15.0
351,29.6,10,1.0
352,2368.0,40,20.0
353,1184.0,20,20.0
354,1776.0,30,20.0
355,592.0,20,10.0
356,888.0,20,15.0
357,14.8,10,0.5
358,88.8,30,1.0
359,14.8,10,0.5
360,44.4,30,0.5
361,14.8,20,0.25
362,2368.0,40,20.0
363,29.6,40,0.25
364,11.1,15,0.25
365,1776.0,40,15.0
366,266.4,30,3.0
367,44.4,30,0.5
368,118.4,40,1.0
369,22.2,30,0.25
370,1184.0,20,20.0
371,133.2,15,3.0
372,444.0,10,15.0
373,236.8,40,2.0
374,118.4,20,2.0
375,7.4,10,0.25
376,592.0,10,20.0
377,888.0,15,20.0
378,444.0,15,10.0
379,88.8,15,2.0
380,888.0,20,15.0
381,666.0,15,15.0
382,177.6,30,2.0
383,59.2,40,0.5
384,14.8,10,0.5
385,1776.0,30,20.0
386,888.0,20,15.0
387,592.0,20,10.0
388,22.2,30,0.25
389,592.0,20,10.0
390,592.0,20,10.0
391,296.0,10,10.0
392,666.0,15,15.0
393,355.2,40,3.0
394,29.6,40,0.25
395,592.0,10,20.0
396,88.8,10,3.0
397,1776.0,40,15.0
398,59.2,10,2.0
399,296.0,10,10.0
400,1776.0,30,20.0
401,888.0,30,10.0
402,118.4,40,1.0
403,2368.0,40,20.0
404,888.0,15,20.0
405,133.2,15,3.0
406,888.0,30,10.0
407,59.2,20,1.0
408,14.8,20,0.25
409,59.2,20,1.0
410,177.6,30,2.0
411,44.4,30,0.5
412,355.2,40,3.0
413,44.4,30,0.5
414,888.0,20,15.0
415,11.1,15,0.25
416,88.8,15,2.0
417,7.4,10,0.25
418,7.4,10,0.25
419,59.2,40,0.5
420,1776.0,30,20.0
421,22.2,30,0.25
422,2368.0,40,20.0
423,7.4,10,0.25
424,888.0,15,20.0
425,1776.0,40,15.0
426,88.8,10,3.0
427,592.0,20,10.0
428,266.4,30,3.0
429,29.6,10,1.0
430,88.8,15,2.0
431,44.4,30,0.5
432,888.0,15,20.0
433,355.2,40,3.0
434,592.0,20,10.0
435,266.4,30,3.0
436,444.0,15,10.0
437,177.6,30,2.0
438,88.8,10,3.0
439,888.0,30,10.0
440,88.8,10,3.0
441,88.8,15,2.0
442,888.0,15,20.0
443,44.4,30,0.5
444,44.4,30,0.5
445,177.6,20,3.0
446,1776.0,40,15.0
447,236.8,40,2.0
448,29.6,40,0.25
449,888.0,30,10.0
450,355.2,40,3.0
451,888.0,20,15.0
452,22.2,15,0.5
453,88.8,10,3.0
454,236.8,40,2.0
455,59.2,40,0.5
456,1332.0,30,15.0
457,22.2,15,0.5
458,59.2,20,1.0
459,1776.0,30,20.0
460,7.4,10,0.25
461,88.8,10,3.0
462,59.2,10,2.0
463,888.0,15,20.0
464,1184.0,20,20.0
465,888.0,15,20.0
466,14.8,10,0.5
467,177.6,30,2.0
468,1776.0,30,20.0
469,88.8,30,1.0
470,118.4,20,2.0
471,1184.0,20,20.0
472,88.8,15,2.0
473,118.4,40,1.0
474,29.6,40,0.25
475,29.6,40,0.25
476,355.2,40,3.0
477,88.8,15,2.0
478,29.6,10,1.0
479,7.4,10,0.25
480,29.6,40,0.25
481,2368.0,40,20.0
482,22.2,15,0.5
483,266.4,30,3.0
484,133.2,15,3.0
485,88.8,15,2.0
486,1332.0,30,15.0
487,14.8,10,0.5
488,118.4,40,1.0
489,888.0,20,15.0
490,14.8,20,0.25
491,44.4,30,0.5
492,592.0,10,20.0
493,266.4,30,3.0
494,44.4,30,0.5
495,22.2,15,0.5
496,44.4,30,0.5
497,59.2,40,0.5
498,444.0,10,15.0
499,59.2,10,2.0
500,44.4,15,1.0
501,266.4,30,3.0
502,236.8,40,2.0
503,22.2,30,0.25
504,177.6,20,3.0
505,236.8,40,2.0
506,22.2,15,0.5
507,355.2,40,3.0
508,11.1,15,0.25
509,1184.0,20,20.0
510,118.4,40,1.0
511,118.4,40,1.0
512,236.8,40,2.0
513,29.6,20,0.5
514,1776.0,40,15.0
515,1776.0,30,20.0
516,1184.0,20,20.0
517,888.0,20,15.0
518,1776.0,30,20.0
519,355.2,40,3.0
520,88.8,15,2.0
521,133.2,15,3.0
522,888.0,20,15.0
523,22.2,30,0.25
524,118.4,40,1.0
525,888.0,30,10.0
526,14.8,20,0.25
527,118.4,20,2.0
528,22.2,30,0.25
529,592.0,20,10.0
530,133.2,15,3.0
531,59.2,20,1.0
532,236.8,40,2.0
533,88.8,15,2.0
534,59.2,20,1.0
535,88.8,15,2.0
536,11.1,15,0.25
537,444.0,10,15.0
538,177.6,30,2.0
539,444.0,15,10.0
